产品名称,产品编号,产品型号,产品主图,规格产品编号,离岸价,产品净重(kg)
Binzel Contact Tip Holder ,270,52mm Long M8Abimig 014.D745 014.D745.5,,270, ,
A141 Diffuser ,277,PE0101,,277,">=0 ,  USD 1.6700 - 1.9300",
420158 45 AMP,293,,,293, ,
D27.9 LENTE LASER,313,,,313,">=0 ,    - ",
D20X3-3K-D 1064MM LENTE LASER,314,,,314,">=0 ,    - ",
D20T 4.5 F150,316,,,316,">=0 ,    - ",
GPN-00,317,,,317,">=0 ,    - ",
GPN.0,318,,,318,">=0 ,    - ",
GPN1 (1/32"),319,,,319,">=0 ,    - ",
GPN-2 (3/64"),320,,,320,">=0 ,    - ",
GPN-3 (1/16"）,321,,,321,">=0 ,    - ",
GPN-4 (5/64"),322,,,322,">=0 ,    - ",
GPN-5 (3/32"),323,,,323,">=0 ,    - ",
GPN-6 (1/8"),324,,,324,">=0 ,    - ",
GPN-000,325,,,325,">=0 ,    - ",
GPN-3 (1/16"),326,,,326,">=0 ,    - ",
GPN-6 (1/8"）,327,,,327,">=0 ,    - ",
AS – 12 Laser welding nozzles,328,,,328,">=10 ,  USD 0.7500 - 1.0000",
AS – 10 Laser welding nozzles,329,,,329,">=0 ,    - ",
BS – 16 Laser welding nozzles,330,,,330,">=0 ,    - ",
Focusing lens D20*4.5*F150,331,,,331,">=0 ,    - ",
Protective lenses D18*2,332,,,332,">=0 ,    - ",
W03X0893-67A,334,,,334, ,
W03X0893-68A,335,,,335, ,
W03X0893-70R,336,,,336, ,
W03X0893-66A,341,,,341, ,
 YK100 Pressing Cap,349,,,349, ,
Welding Helmet,350,,,350, ,
Welding Glassess,351,,,351, ,
Pana 350A Insulator,355,,,355, ,
Original YK100 Nozzle,373,,,373_1,">=10 USD 0.79
",
,,,,373_2,">=10 USD 0.79
",
,,,,373_3,">=10 USD 0.79
",
,,,,373_4,">=10 USD 0.79
",
P80 Nozzle,367,,,367_1,"50-499 USD 0.38
500-4999 USD 0.37
>=5000 USD 0.35
",
,,,,367_2,"50-499 USD 0.38
500-4999 USD 0.37
>=5000 USD 0.35
",
,,,,367_3,"50-499 USD 0.38
500-4999 USD 0.37
>=5000 USD 0.35
",
,,,,367_4,"50-499 USD 0.38
500-4999 USD 0.37
>=5000 USD 0.35
",
Black Wolf P80 Nozzle and Electrode,267,,,267_1,"1000-2999 USD 0.8
3000-9999 USD 0.78
>=10000 USD 0.75
",0.03
,,,,267_2,"1000-2999 USD 0.8
3000-9999 USD 0.78
>=10000 USD 0.75
",0.03
,,,,267_3,"1000-2999 USD 0.8
3000-9999 USD 0.78
>=10000 USD 0.75
",0.03
,,,,267_4,"1000-2999 USD 0.8
3000-9999 USD 0.78
>=10000 USD 0.75
",0.03
Collet（for WP9 20 25),265,,,265_1, ,
,,,,265_2, ,
,,,,265_3, ,
Black Wolf P80 Nozzle ,253,,,253_1,"50-499 USD 0.38
500-4999 USD 0.37
>=5000 USD 0.35
",
,,,,253_2,"50-499 USD 0.38
500-4999 USD 0.37
>=5000 USD 0.35
",
,,,,253_3,"50-499 USD 0.38
500-4999 USD 0.37
>=5000 USD 0.35
",
,,,,253_4,"50-499 USD 0.38
500-4999 USD 0.37
>=5000 USD 0.35
",
CB150,375,,,375_1,USD 0.9000,
,,,,375_2,USD 0.9000,
,,,,375_3,USD 0.9000,
,,,,375_4,USD 0.9000,
